latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,type,horizontalError,depthError,magError,magNst
38.8219985961914,-122.763999938965,1.82000005245209,1.49,md,28.0,106.0,0.009639,0.03,EARTHQUAKE,0.24,0.340000004,0.11,27.0
36.10183333,-97.83633333,6.42,1.63,ml,96.0,45.0,0.1178768685,0.14,earthquake,0.48,0.2,0.23,47.0
60.2202,-150.7827,45.9,4.2,ml,20.0,88.0,0.05971,0.67,earthquake,0.48,0.3,0.159,12.5
37.857666015625,-122.241333007812,8.38000011444092,2.83,md,74.0,30.0,0.01644,0.07,earthquake,0.12,0.270000011,0.14,94.0
32.107,-101.918,8.4229,2.4,ml,18.0,53.0,0.1,0.1,EARTHQUAKE,0.5984802418202878,0.9015821970145104,0.0,7.0
45.36783333333333,-121.70133333333334,1.73,1.87,ml,16.0,62.0,0.009722,0.05,earthquake,0.17,0.34,0.1944265580662184,9.0
6.5408,-76.22,10.0,4.9,mb,55.0,86.0,2.531,1.17,EARTHQUAKE,7.3,1.892,0.033,282.0
36.7696,-116.2563,9.4,-0.2,ml,29.0,60.56,0.034,0.0787,earthquake,0.48,0.6,0.32,5.0
38.8186683654785,-122.763664245605,1.70000004768372,1.25,md,19.0,115.0,0.01276,0.03,earthquake,0.27,0.49000001,0.2,20.0
35.3478333,-117.7913333,6.79,1.1,ml,37.0,79.0,0.09177,0.13,earthquake,0.15,0.38,0.19,37.0
60.0493333333333,-153.078166666667,2.1,-0.57,ml,5.0,113.0,0.01087,0.22,earthquake,1.35,1.89,0.262742738477782,5.0
35.54183333,-96.76733333,6.0,-1.08,ml,10.0,104.0,0.007198587392,0.04,EARTHQUAKE,0.48,0.3,0.0,1.0
62.8735,-151.0926,28.0,1.5,ml,20.0,88.0,0.05971,1.28,earthquake,0.48,0.7,0.159,12.5
19.1763,-155.4658,35.0,2.6,ml,13.0,158.0,0.174,0.2,EARTHQUAKE,6.25,3.717,0.081,20.0
37.7247,72.4379,198.227,4.3,mb,40.0,90.0,0.588,0.46,earthquake,7.26,7.811,0.153,12.0
52.7818,160.9545,10.0,4.6,mb,39.0,119.0,1.417,0.62,earthquake,10.4,1.902,0.048,131.0
35.4416666666667,-91.6826666666667,5.27,1.93,md,11.0,186.0,0.1174,0.13,EARTHQUAKE,0.5,1.05,0.122345371544161,9.0
33.5908333,-116.7338333,12.25,0.79,ml,42.0,40.0,0.02553,0.15,earthquake,0.16,0.35,0.121,16.0
35.8951667,-117.7405,7.84,1.44,ml,23.0,48.0,0.08278,0.12,earthquake,0.16,0.52,0.07,7.0
32.359,-102.089,6.958,0.6,ml,17.0,48.0,0.0,0.1,earthquake,0.5444695663254557,0.8546184916491355,0.2,9.0
38.8001670837402,-122.766670227051,3.83999991416931,1.05,md,20.0,81.0,0.005456,0.02,EARTHQUAKE,0.31,0.639999986,0.14,21.0
58.2657,-154.0893,9.9,1.4,ml,20.0,88.0,0.05971,0.72,earthquake,0.48,0.7,0.159,12.5
60.5173333333333,-152.7775,2.57,-0.69,ml,8.0,75.0,0.04483,0.07,earthquake,0.24,0.99,0.0889396591941217,8.0
52.3425,159.9704,35.0,4.7,mb,64.0,143.0,1.054,0.74,earthquake,10.74,1.924,0.065,72.0
37.5675,141.3033,49.324,5.1,mww,69.0,98.0,2.679,0.55,EARTHQUAKE,7.55,4.763,0.071,19.0
31.486,-115.604,5.74,2.42,ml,9.0,148.0,0.1805,0.22,earthquake,0.46,3.16,0.112,9.0
53.104,160.9783,40.665,4.6,mb,138.0,106.0,1.407,0.82,earthquake,9.23,7.241,0.047,134.0
32.42,-101.77,6.2256,0.8,ml,16.0,67.0,0.0,0.1,EARTHQUAKE,0.4741214808354041,0.5935647886390565,0.2,10.0
-15.1223,167.4307,150.852,5.0,mb,75.0,56.0,6.173,0.74,EARTHQUAKE,9.99,5.614,0.062,84.0
33.9806667,-116.7158333,14.15,0.87,ml,31.0,58.0,0.08068,0.13,EARTHQUAKE,0.18,0.35,0.169,21.0
61.3891,-150.1005,34.5,1.9,ml,20.0,88.0,0.05971,0.32,EARTHQUAKE,0.48,0.6,0.159,12.5
40.2828333333333,-124.645,15.32,2.39,md,54.0,252.0,0.2314,0.15,earthquake,0.28,0.42,0.268,32.0
38.7906684875488,-122.75366973877,0.379999995231628,0.81,md,7.0,172.0,0.01518,0.02,earthquake,0.56,1.07000005,0.08,7.0
53.181,159.8579,63.703,5.4,mb,82.0,105.0,0.745,0.64,earthquake,7.83,6.154,0.021,756.0
61.8415,-149.6104,39.4,1.9,ml,20.0,88.0,0.05971,0.28,earthquake,0.48,0.7,0.159,12.5
38.8219985961914,-122.812835693359,2.96000003814697,0.88,md,10.0,68.0,0.01737,0.01,earthquake,0.39,0.879999995,0.26,9.0
38.4663,-116.4883,2.7,1.8,ml,9.0,154.74,0.511,0.132,earthquake,0.48,3.2,0.0,2.0
60.022,-153.078,1.47,-0.25,ml,5.0,101.0,0.03043,0.24,earthquake,0.52,0.71,0.25296203414797,5.0
28.85,-99.103,8.4722,1.6,ml,10.0,81.0,0.0,0.2,earthquake,2.260473654506119,1.1691937778755006,0.1,6.0
63.5652,-150.861,0.0,1.8,ml,20.0,88.0,0.05971,0.73,earthquake,0.48,0.4,0.159,12.5
36.0043333333333,-120.5655,1.5,-0.26,md,0.0,236.0,0.02397,0.08,earthquake,1.21,1.79,0.107,2.0
62.9006,-143.6771,6.0,1.6,ml,20.0,88.0,0.05971,0.81,earthquake,0.48,0.3,0.159,12.5
33.931,-117.1951667,13.12,1.3,ml,48.0,54.0,0.02477,0.18,EARTHQUAKE,0.16,0.38,0.205,27.0
38.452,-112.806833333333,4.88,1.44,ml,21.0,72.0,0.0407,0.07,earthquake,0.31,0.49,0.0661644795865473,2.0
-4.8346,151.1849,192.136,4.4,mb,22.0,110.0,1.166,0.74,EARTHQUAKE,12.72,14.339,0.13,17.0
41.1842,-116.6589,12.8,1.4,ml,6.0,262.07,0.271,0.151,earthquake,0.48,2.3,0.21,3.0
38.8383331298828,-122.810165405273,2.9300000667572,1.7,md,37.0,33.0,0.01492,0.04,earthquake,0.19,0.319999993,0.13,34.0
35.6803333,-117.5553333,2.82,0.62,ml,25.0,57.0,0.1082,0.19,EARTHQUAKE,0.22,0.65,0.232,11.0
40.7355003356934,-123.294502258301,24.6000003814697,2.55,md,27.0,42.0,0.1593,0.18,earthquake,0.45,1.38,0.13,18.0
32.195,-100.966,5.0049,1.4,ml,16.0,62.0,0.3,0.2,earthquake,0.940239790457514,3.235982187840539,0.0,6.0
38.8209991455078,-122.806999206543,3.11999988555908,0.98,md,7.0,92.0,0.0159,0.01,earthquake,0.42,1.0,0.2,8.0
46.12083333333333,-122.5005,16.5,0.64,ml,13.0,106.0,0.1214,0.09,EARTHQUAKE,0.34,0.7,0.0939875887958928,6.0
60.0766666666667,-152.970166666667,1.03,0.12,ml,5.0,303.0,0.05071,0.13,earthquake,0.81,0.35,0.180768763487748,5.0
60.0173333333333,-153.091833333333,0.54,-0.82,ml,5.0,114.0,0.03685,0.1,earthquake,0.3,1.41,0.314101965248989,5.0
38.8201675415039,-122.793663024902,2.74000000953674,0.75,md,12.0,56.0,0.01225,0.02,earthquake,0.34,0.74000001,0.17,14.0
37.5945014953613,-122.461669921875,8.8100004196167,1.81,md,15.0,91.0,0.03316,0.04,earthquake,0.41,0.529999971,0.21,11.0
34.0411667,-117.2323333,7.16,2.03,ml,106.0,15.0,0.07657,0.17,earthquake,0.1,0.28,0.135,25.0
37.8565,-121.801833333333,5.69,1.55,md,7.0,91.0,0.04446,0.03,earthquake,0.73,0.38,0.528,4.0
58.346,-154.994,5.08,-0.03,ml,4.0,308.0,0.06197,0.29,earthquake,1.61,1.28,0.391729891780745,4.0
53.1782,159.9229,50.727,4.2,mb,31.0,164.0,0.783,1.26,earthquake,11.82,9.096,0.11,23.0
31.662,-104.364,6.7151,1.7,ml,29.0,69.0,0.1,0.1,earthquake,0.7174147132579781,0.7366894397992645,0.1,19.0
34.0423317,-117.2350006,5.06,1.15,ml,23.0,66.0,0.1031,0.14,earthquake,0.37,0.94,0.159,12.0
46.3236666666667,-111.599333333333,-2.0,1.59,ml,11.0,144.0,0.3205,0.05,QUARRY BLAST,0.41,31.61,0.366117605526391,13.0
38.7861671447754,-122.767501831055,2.82999992370605,0.89,md,9.0,101.0,0.01548,0.03,earthquake,0.41,1.12,0.43,8.0
61.9418333333333,-144.292,10.18,-0.19,ml,4.0,134.0,0.04773,0.19,earthquake,0.93,0.79,0.234492801220435,3.0
38.829833984375,-122.814163208008,2.5699999332428,0.51,md,8.0,112.0,0.007179,0.04,earthquake,0.56,0.959999979,0.34,9.0
35.3575,-117.7905,6.03,1.48,ml,50.0,37.0,0.1006,0.17,earthquake,0.15,0.55,0.135,24.0
34.7428333,-116.1151667,2.3,2.14,ml,32.0,46.0,0.06683,0.15,EARTHQUAKE,0.16,0.32,0.183,22.0
60.0551666666667,-152.934166666667,5.23,0.24,ml,5.0,302.0,0.05756,0.12,earthquake,1.43,1.2,0.228416185122396,5.0
